Sum Range ID,Target
Arizona_Solar_MinBuild,169.0
Baja_California_Wind_MinBuild,111.0
Cape_Mendocino_Offshore_Wind_MinBuild,0.0
Central_Nevada_Geothermal_MinBuild,40.0
Central_Valley_North_Los_Banos_Wind_MinBuild,32.0
Greater_Imperial_Geothermal_MinBuild,111.0
Greater_Imperial_Solar_MinBuild,39.0
Greater_Kramer_Li_Battery_8hr_MinBuild,100.0
Greater_Kramer_Solar_MinBuild,819.0
Humboldt_Bay_Offshore_Wind_MinBuild,0.0
Idaho_Wind_MinBuild,300.0
Morro_Bay_Offshore_Wind_MinBuild,0.0
New_Mexico_Wind_MinBuild,1968.0
Northern_California_Geothermal_MinBuild,88.0
Northern_California_Li_Battery_4hr_MinBuild,14.0
Northern_California_Solar_MinBuild,26.0
Northern_California_Wind_MinBuild,549.0
Pacific_Northwest_Geothermal_MinBuild,13.0
Riverside_Solar_MinBuild,659.0
Solano_Wind_MinBuild,104.0
Southern_NV_Eldorado_Li_Battery_4hr_MinBuild,94.0
Southern_NV_Eldorado_Solar_MinBuild,189.0
Southern_NV_Eldorado_Wind_MinBuild,142.0
Southern_PGAE_Li_Battery_4hr_MinBuild,125.0
Southern_PGAE_Solar_MinBuild,247.0
Tehachapi_Li_Battery_4hr_MinBuild,50.0
Tehachapi_Solar_MinBuild,654.0
Tehachapi_Wind_MinBuild,156.0
Wyoming_Wind_MinBuild,731.0
